"siRNA_name","siRNA","strand","transcript","gene_name","biotype","position","region","match_type","risk_score"
"edge_pmp22_utr5_first",NA,"guide","ENST00000426385.4","PMP22","protein_coding",1,"5'UTR","unknown",1
"edge_pmp22_utr5_last",NA,"guide","ENST00000426385.4","PMP22","protein_coding",122,"5'UTR","unknown",1
"edge_pmp22_cds_first",NA,"guide","ENST00000426385.4","PMP22","protein_coding",123,"CDS","unknown",5
"edge_pmp22_cds_last",NA,"guide","ENST00000426385.4","PMP22","protein_coding",500,"CDS","unknown",5
"edge_pmp22_utr3_first",NA,"guide","ENST00000426385.4","PMP22","protein_coding",501,"3'UTR","unknown",3
"edge_pmp22_utr3_last",NA,"guide","ENST00000426385.4","PMP22","protein_coding",571,"3'UTR","unknown",3
"edge_brca2_mid",NA,"guide","ENST00000380152.7","BRCA2","protein_coding",500,"CDS","unknown",5
"edge_sf3b1_mid",NA,"guide","ENST00000335508.11","SF3B1","protein_coding",100,"CDS","unknown",5
"edge_mtco1_mid",NA,"guide","ENST00000361624.2","MT-CO1","protein_coding",500,"CDS","unknown",5
"edge_nonexistent",NA,"guide","ENST99999999999.1",NA,NA,100,"ncRNA","unknown",1
"edge_past_end",NA,"guide","ENST00000426385.4","PMP22","protein_coding",999999,"3'UTR","unknown",3
